bn,en
এই,ei
সাগরের,shagorer
চারি,chari
পাশে,pashe
অবস্থিত,obosthit
দেশ,desh
গুলি,guli
হল,holo
-,-
চীন,chin
তাইওয়ান,taiwan
ফিলিপাইন্স,phillipines
ব্রুনাই,brunei
ইন্দোনেশিয়া,indonesia
সিঙ্গাপুর,singapore
ভিয়েতনাম,vietnam
বুদ্ধকে,buddhoke
স্নানস্কৃত,snankrito
পানিকে,panike
মারমারা,marmara
খেয়ে,kheye
থাকে,thake
কারণ,karon
মারমাদের,maramader
বিশ্বাস,bisshas
বুদ্ধ,buddho
পানি,paani
তাদের,tader
শরীরে,shorire
সকল,shokol
রোগমুক্তির,rogimuktir
অবসান,aboshan
করাবে,korabe
এটি,eti
রেলওয়ের,railway-r
সম্পত্তি,shompotti
যাইহোক,jayhok
বর্তমানে,bortomane
কনকর্ড,concord
গ্রুপের,grouper
বাবস্থয়াপনায়,byabosthaponay
চিত্তবিনোদন,chittobinodon
পার্ক,park
হিসেবে,hishebe
আছে,ache
তেলেগু,telegu
ভাষায়,bhashay
বলা,bola
হয়,hoy
পালাসা,palasa
পালাসাহ,palasah
পালিয়া,paliya
পোলাসা,polasha
প্রথম,prothom
শেখর,sekhar
মদনমোহন,madanmohon
ও,o
গোপাল,gopal
নামক,namak
তাঁর,tar
তিন,tin
পুত্র,putro
ছিল,chilo
সালে,saale
মাইকেল,michael
এস,s
হার্ট,hart
যখন,jakhon
যুক্তরাষ্টের,juktorashtrer
ইলিনয়,illinois
বিশ্ববিদ্যালয়ের,bishwobidyaloyer
ছাত্র,chatra
তখন,takhan
তিনি,tini
ম্যাটেরিয়ালস,materials
রিসার্চ,research
ল্যাবে,lyabe
আনলিমিটেড,unlimited
কম্পিউটার,computer
ব্যবহারের,byaboharer
সুযোগ,shujog
পান,pan
সে,se
সময়,shomoy
যার,jar
আর্থিক,arthik
মূল্য,mullo
বিবেচনা,bibechona
করা,kora
১০০০০০,100000
ডলারেরও,dollerero
বেশী,beshi
তার,tar
ছোট,choto
বোন,bon
আর্সজুলা,arsjula
রাদভানিস্তাও,radvanistao
টেনিস,tennis
খেলছেন,khelchen
